message_id,date,text,image_path
1175,2024-10-04 13:14:16,"🤱**በድህረ ወሊድ ጊዜ ምን ማወቅ አለብዎት??**

🌸ቀደምት የድህረ ወሊድ ጊዜ በሴቶች ህይወት ውስጥ ከወሊድ በኋላ በአካል፣ በስሜታዊ እና በስነ ልቦና ለውጦች የሚታወቅ ወሳኝ ምዕራፍ ነው።

💁‍♀**ተከታይ አካላዊ ለውጦችን በጥቂቱ:-
   **💫 የማሕፀን መኮማተር 
   💫  ደም መፍሰስ እና ሎቺያ  **
    💫**የድህረ ወሊድ ህመም እና ምቾት ማጣት

🧑‍🔬**የሕክምና እርዳታ መቼ ያስፈልጋል?**

🌸**የአእምሮ ጤናዎን እንዴት ይንከባከቡ?

🌸አዲስ የተወለደ ልጅን ለመንከባከብ  ጤናማ መመርያዎች ምንድናቸው?**

🙎‍♀**የድህረ ወሊድ እንክብካቤ እና ምርመራ ምን ይመስላል?**

💫**እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾**[እዚህ ይጫኑ።](https://yetenaweg.com/%e1%89%80%e1%8b%b0%e1%88%9d-%e1%89%a3%e1%88%88%e1%8b%8d-%e1%8b%b5%e1%88%85%e1%88%a8-%e1%8b%88%e1%88%8a%e1%8b%b5-%e1%8c%8a%e1%8b%9c-%e1%88%9d%e1%8a%95-%e1%88%9b%e1%8b%88%e1%89%85-%e1%8a%a0%e1%88%88/)
[
💫](https://t.me/yetenaweg)**የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 **[እዚህ ይጫኑ።](https://t.me/yetenaweg)",
1171,2024-10-03 05:09:38,"💡በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት **የእንቅልፍ ችግሮች** የሚዳስስ ውይይት ይዘን ቀርበናል።

🛌የእንቅልፍ ችግሮች በተለያዩ ምክንያቶች ሊመጡ ይችላሉ ከእነዚህም መካከል: 
👉 ሥር የሰደደ ሕመም
👉 የአእምሮ ጤና ጉዳዮች 
👉 መደበኛ ያልሆነ የእንቅልፍ መርሃ ግብር
👉 አካባቢያዊ ምክንያቶች 
👉 ከእድሜ ጋር የተገናኙ ለውጦች 
👉 መድሃኒቶች እንዲሁም ሌሎችን ያካትታል

🗣እንግዳችን:
👉 **ያፌት ከፈለኝ (በአብርሆት የስነዓዕምሮ ህክምና ተቋም የስነ አዕምሮ አማካሪ )**

🗓**እሁድ መስከረም 26 2017**

⏰**ከምሽቱ 12 ሰዓት (በኢትዮጵያ)**

⚡️ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

⚡️የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh",
1169,2024-10-02 07:04:03,"⭐️**ቲቢ(ቱበርኩሎሲስ) ምንድን ነው?**

💫ሳንባ ነቀርሳ (ቲቢ)በባክቴሪያ የሚከሰት ተላላፊ በሽታ ሲሆን ብዙውን ጊዜ ሳንባን ያጠቃል::

⭐️**የቲቢ ምልክቶች  በጥቂቱ የሚከተሉትን ያካትታሉ:**
• ረዘም ላለ ጊዜ ሳል (አንዳንድ ጊዜ ደም የቀላቀለ አክታ)
• የደረት ህመም
• ድካም
• ክብደት መቀነስ
• ትኩሳት
• የምሽት ላብ እና
• የምግብ ፍላጎት መቀነስ፡

⭐️**ለበሽታው ተጋላጭ የሚያደርጉ ሁኔታዎች ምንድናቸው?**

💊**ህክምናው ምን ይመስላል?**

⭐️**የበሽታው መከላከያ መንገዶች ምን ምን ናቸው?**

🌟**እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾**[እዚህ ይጫኑ።](https://yetenaweg.com/%e1%8b%a8%e1%88%b3%e1%8a%95%e1%89%a3-%e1%8a%90%e1%89%80%e1%88%ad%e1%88%b3/)[
](https://t.me/yetenaweg)
🌟**የቴሌግራም ቻናላችንን ለመቀላቀል **👉🏾[ እዚህ ይጫኑ።](https://t.me/yetenaweg)",
1164,2024-09-25 06:38:28,"💥 **ጉርምስና**💥

💥ጉርምስና ማለት በአስራዎቹ  የእድሜ ክልል መጀመሪያ ውስጥ የሚገኙ ልጆች የሚያሳዩት አካላዊና ስነ ልቦናዊ ለውጥ ነው ። 
💥ይህ ጊዜ ልጆች ወደ ወጣትነት ለማደግ የሚንደረደሩበት ብዙ የባህሪ ለውጦችን የሚያስተናግዱበት ወቅት ነው። 

👉በጉርምስና ጊዜ የ ሚታዩ ለውጦች ምን ምን ናቸው? 
👉የልጆችና የወላጆች ግንኙነት ምን ይመስላል ? 
👉 ወላጆች ለዚህ ለውጥ ምን አይነት ምላሽ መስጠት አለባቸው?

🔸 ለበለጠ መረጃ: [እዚህ ይጫኑ](https://yetenaweg.com/tag/%E1%8C%89%E1%88%AD%E1%88%9D%E1%88%B5%E1%8A%93/)",
1161,2024-09-23 08:09:38,"ዓለም አቀፍ የምልክት ቋንቋ ቀን መስከረም 13 ቀን በመላው ዓለም ተከብሮ ይውላል።

በዚህ ቀን መስማት የተሳናቸው ወገኖችዎን መደገፍ፣ ለሰብአዊ መብቶቻቸው መሟገት እና ለምልክት ቋንቋ ድጋፍዎን ማሳየት አይርሱ።

የጤና ወግ ይህንን ቀን እነዚህን በሕክምና ላይ የሚዘወተሩ የምልክት ቋንቋዎች በመለማመድ እንዲያከብሩ ይጋብዝዎታል።",
1158,2024-09-04 19:09:46,"#ጳጉሜን_ለበጎ 

🩸ደም እንለግስ🩸፣ 
🫀ሕይወትን እንታደግ!

📅የጤና ወግ አመታዊ የደም ልገሳ ፕሮግራም ጳጉሜ 3 እና 4፣ ከብሔራዊ የደም ባንክ አገልግሎት ጋር በመተባበር
🩸እያንዳንዱ ጠብታ ዋጋ አለው፣ የእርስዎ ልገሳ ህይወትን ሊያድን ይችላል።🩸

🏫 📋✏️📚✒️ ደም መለገስ ባይችሉ ለስለእናት የበጎ አድራጎት ድርጅት ልጆች የትምህርት ቁሳቁሶችን  በመለገስ አስተዋፅኦ ያድርጉ።🙌🏾 

📍አድራሻ: ብሔራዊ የደም ባንክ ዋና መስሪያ ቤት ጤና ጥበቃ ሚኒስቴር ግቢ አጠገብ  🗺",
1157,2024-08-26 17:29:14,"📍**ቲንያ (ቆረቆር ፣ ጭርት ፣ ጥፍረ መጥምጥ )**

▫️ቲንያ የፈንገስ  ኢንፌክሽን  አይነት ሲሆን በዋናነት ቆዳን ፣ ፀጉርን እና ጥፍርን ያጠቃል::
**
🔻ለበሽታው ተጋላጭ የሚያደርጉ ሁኔታዎች ምንድናቸው**?

👉🏽 ይህ የቆዳ በሽታ ማንኛውንም ሰው ሊያጠቃ ይችላል ። ነገር ግን በይበልጥ በሽታን የመከላከል አቅም የሚያደክሙ ህመሞች ያለባቸው ሰዎችን በይበልጥ ሊጎዳ ይችላል ።
__ከዚህ በተጨማሪ __
👉🏽 ዝቅተኛ የኑሮ ህኔታ ፣ __እድሜ ፣ __
👉🏽 የተፋፈገ እና ሰው የበዛበት የኑሮ ሁኔታ ፣ የግል ንህጽናን ያለመጠበቅ      
👉🏽 የሰውነት በሽታ የመከላከል 
አቅም የሚቀንሱ መድሃኒቶችን መጠቀም

🔺**የቲኒያ ፈንገስ አይነቶች በጥቂቱ**

▫️ ቲንያ ካፒተስ(ቆረቆር):-በፀጉር ላይ የሚከሰት
 ▫️ቲንያ ኮርፖሪስ(ጭርት):-በሰውነት ቆዳ ላይ የሚከሰት
▫️ቲንያ ፔዲስ :- በእግር ላይ የሚከሰት
▫️ቲንያ ፋሼ :- የፊት ቆዳን የሚያጠቃ  
▫️ቲንያ አንጉየም – ጥፍረ መጥምጥ 
▫️ቲንያ ክሩሪስ :-ይህም በጭን እና በብልት አካባቢ የሚገኝ

🔻**የቲንያ ምርመራ እና ህክምና ምን ይመስላል?

🔺የበሽታው መተላለፊያና መከላከያ መንገዶች ምንድናቸው?**

♦️**እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾**[እዚህ ይጫኑ።](https://yetenaweg.com/%e1%89%b2%e1%8a%95%e1%8b%ab-tinea/)[
](https://t.me/yetenaweg)
♦️**የቴሌግራም ቻናላችንን ለመቀላቀል **👉🏾[ እዚህ ይጫኑ።](https://t.me/yetenaweg)",
1151,2024-08-21 10:20:09,"💥 ቅድመ እርግዝና ክትትል ማለት አንዲት ሴት ከማርገዟ በፊት ስለ አጠቃላይ የእርግዝናው ሒደትና ሊከሰቱ ስለሚችሉ ሁናቴዎች በጥልቀት የምትረዳበት ጊዜ ነው።

👉ይህ ሂደት ለራስና ለሚወለደው ልጅ ጤንነት ወሳኝ ነው።

👉 የቅድመ እርግዝና ክትትል ምን ምን ያካትታል?  

👉ቅድመ እርግዝና ክትትል አላማውና ጥቅሙ ምንድነው?

🔸ስለ ቅድመ እርግዝና ክትትል ዝርዝር መረጃዎች ለማግኘት እዚህ [ይጫኑ](https://yetenaweg.com/%E1%89%85%E1%8B%B5%E1%88%98-%E1%8A%A5%E1%88%AD%E1%8C%8D%E1%8B%9D%E1%8A%93-%E1%8A%A5%E1%8A%95%E1%8A%AD%E1%89%A5%E1%8A%AB%E1%89%A4/) 

🔸 ለበለጠ መረጃ 
https://yetenaweg.com/",
1148,2024-08-19 16:24:22,"የዝንጀሮ ፈንጣጣ እንዴት ከአንድ ሰው ወደ ሌላ ይተላለፋል ? 
ይህን ማወቅ ራስን ከበሽታ ለመከላከል ይረዳል",
1135,2024-08-19 15:57:00,"🌍⚠️የዝንጀሮ ፈንጣጣ በሽታ አሁን አሳሳቢ የአለም የጤና ጉዳይ ነው! በፍጥነት እየተስፋፋ ነው እና ትኩረታችንን ይፈልጋል። ⚠️🌍

📚ይህንን በሽታ ለመረዳት እንዲረዳዎ የተዘጋጀውን አጭር መረጃ ያንብቡ።

🔍 የዝንጀሮ ፈንጣጣ ምንድን ነው?
🔄እንዴት ነው የሚተላለፈው
⚠️ምልክቶቹ ምንድን ናቸው?
🩺በሽታው እንዴት ይታወቃል? እንዴትስ ይታከማል?
🛡 እንዴት መከላከል ይቻላል?

🧠ስለ  በሽታው በቂ እውቀት ይኑሮት፣ እራስዎን እና ሌሎችን ይጠብቁ!

✍️ ይህ ፅሁፍ የተፃፈው የ2022 የጤና ወግ የፅሁፍ ውድድር ላይ ተሳታፊ በነበረችው ዮዲት በላይሁን ነው።",
